Company,Specific Bean Origin,REF,Review,Cocoa Percent,Company Location,Rating,Bean Type,Broad Bean Origin
Willie's Cacao,Rio Caribe,457,2009,72%,U.K.,3.25,Trinitario,Venezuela
Beschle (Felchlin),"Ocumare, Premier Cru, Quizas No. 2",508,2010,72%,Switzerland,3.5, ,Venezuela
Dark Forest,Tanzania,1554,2015,70%,U.S.A.,3.0, ,Tanzania
Brasstown aka It's Chocolate,Cooproagro,1125,2013,72%,U.S.A.,3.0,Trinitario,Dominican Republic
Pralus,"Java, Indonesie",32,2006,75%,France,3.5,Criollo,Indonesia
Pitch Dark,Chuno,1510,2015,80%,U.S.A.,2.75,"Criollo, Trinitario",Nicaragua
Letterpress,Beniamo,1562,2015,70%,U.S.A.,3.25, ,Bolivia
Shark Mountain,Cuyagua,1466,2015,77%,U.S.A.,2.75,Criollo,Venezuela
Laia aka Chat-Noir,"Lam Dong, Batch 153",1642,2015,75%,France,3.75,Trinitario,Vietnam
Duffy's,Star of Ecuador,523,2010,70%,U.K.,2.5, ,Ecuador
Aequare (Gianduja),"Los Rios, Quevedo, Arriba",370,2009,70%,Ecuador,3.0,Forastero (Arriba),Ecuador
Beschle (Felchlin),"Indigena Amazonia, Grand Cru, Quizas",636,2011,72%,Switzerland,3.5, ,Venezuela
Map Chocolate,"Tumbes, Dear Mr. Finley, 2014",1606,2015,68%,U.S.A.,3.5,Criollo,Peru
Kyya,Madagascar,1363,2014,72.5%,U.S.A.,3.0,Trinitario,Madagascar
Fruition,"Coto Brus, Heirloom, Batch 1",1780,2016,74%,U.S.A.,4.0,Amazon mix,Costa Rica
Hoja Verde (Tulicorp),Arriba,414,2009,58%,Ecuador,3.25,Forastero (Arriba) ASS,Ecuador
Cacao Hunters,Arhuacos,1662,2015,72%,Colombia,3.75, ,Colombia
Dark Forest,Ocumare,1550,2015,70%,U.S.A.,3.25, ,Venezuela
Habitual,Papua New Guinea,1197,2014,80%,Canada,2.75, ,Papua New Guinea
Vicuna,Palos Blancos + nibs,1470,2015,70%,U.S.A.,3.25, ,Bolivia
Kallari (Ecuatoriana),Sisa's Secret/ original micro,241,2008,70%,Ecuador,3.5, ,Ecuador
Chocosol,"Chiapas, Lacandon Jungle, Oaxacom Mtn",682,2011,65%,Canada,3.25, ,Mexico
Habitual,Africa meets Latina,1201,2014,70%,Canada,3.0, , 
Willie's Cacao,Hacienda Las Trincheras,593,2010,72%,U.K.,3.5, ,Venezuela
Escazu,"Carenero, Guapiles, Ocumare blend",431,2009,74%,U.S.A.,2.75, ,"Cost Rica, Ven"
Soma,"Apurimac, El Quinacho Co-op",1073,2013,70%,Canada,2.75,Criollo,Peru
Pierre Marcolini,Trinite,478,2010,75%,Belgium,3.25,Trinitario,Trinidad
Blanxart,"Congo, Grand Cru",1046,2013,82%,Spain,3.5,Forastero,Congo
Chloe Chocolat,Blend No. 1,672,2011,70%,France,3.5, , 
Burnt Fork Bend,"Ecuador, Bob Bar",1323,2014,60%,U.S.A.,2.5, ,Ecuador
Glennmade,Bahia,1672,2015,66%,U.S.A.,3.0,"Trinitario, Forastero",Brazil
Silvio Bessone,"Trintade, Sao Tome",725,2011,65%,Italy,3.25,Forastero,Sao Tome
East Van Roasters,Peru,1343,2014,70%,Canada,3.25, ,Peru
Michel Cluizel,"Chiapas, Mokaya P.",963,2012,66%,France,3.75, ,Mexico
Pump Street Bakery,Guantupi River,1223,2014,75%,U.K.,3.0,Forastero (Nacional),Ecuador
Pacari,Esmeraldas,224,2008,60%,Ecuador,2.5,Forastero (Arriba),Ecuador
Duffy's,Ocumare,923,2012,72%,U.K.,3.75, ,Venezuela
Vintage Plantations (Tulicorp),"Los Rios, Rancho Grande 2004/2007",153,2007,75%,U.S.A.,3.0,Forastero (Arriba),Ecuador
DeVries,Bolivian,241,2008,80%,U.S.A.,2.75, ,Bolivia
Dean and Deluca (Belcolade),Peru,180,2007,64%,U.S.A.,3.0, ,Peru
Lonohana,"Haleiwa E, O'ahu, 2014",1395,2014,65%,U.S.A.,3.25, ,Hawaii
Nibble,"Ambanja, Sambirano Valley",1526,2015,72%,U.S.A.,3.0,Trinitario,Madagascar
